date,open,high,low,close,volume
2025-11-12,140.13,142.44,139.64,140.51,100809
2025-11-13,140.3,143.62,138.88,141.96,114116
2025-11-14,141.54,144.52,138.25,138.26,94745
2025-11-17,137.74,139.81,137.11,138.64,78026
2025-11-18,138.58,141.17,137.54,138.39,78718
2025-11-19,137.66,138.6,135.37,135.78,79779
2025-11-20,136.07,137.85,135.2,135.49,56301
2025-11-21,134.64,137.53,132.53,132.84,101771
2025-11-24,133.34,134.64,131.05,131.56,89161
2025-11-25,131.56,132.58,130.65,132.23,71837
2025-11-26,132.23,133.94,132.14,133.57,61719
2025-11-27,133.78,134.74,132.5,133.65,61539
2025-11-28,133.66,135.12,132.85,134.52,56092
2025-12-01,134.64,137.0,133.19,134.4,63052
2025-12-02,133.64,134.81,132.33,132.33,46619
2025-12-03,132.64,132.72,130.64,131.34,48138
2025-12-04,131.06,131.43,125.6,126.35,140351
2025-12-05,126.32,127.3,125.64,126.99,55552
2025-12-08,126.24,126.93,123.64,124.02,117426
2025-12-09,123.64,123.7,119.74,120.76,127119
2025-12-10,120.25,121.93,118.65,121.26,82995
2025-12-11,121.24,122.14,120.0,120.04,51699
2025-12-12,120.79,123.1,119.85,121.62,128796
2025-12-15,123.11,124.32,121.39,121.45,95194
2025-12-16,120.66,121.86,120.3,121.5,52327
2025-12-17,121.22,121.85,119.39,120.75,78406
2025-12-18,120.54,121.49,120.14,120.61,51058
2025-12-19,120.61,121.16,119.99,120.73,67123
2025-12-22,120.33,121.74,119.78,119.97,80545
2025-12-23,119.83,119.96,118.15,119.04,71934
2025-12-24,118.76,119.02,117.95,118.58,52593
2025-12-25,118.13,120.76,118.13,119.36,81921
2025-12-26,118.65,119.39,117.79,118.03,73438
2025-12-29,117.89,117.89,115.64,115.85,98906
2025-12-30,115.81,116.74,115.34,116.49,52832
2025-12-31,116.17,116.48,114.74,114.86,58394
2026-01-05,114.86,117.02,114.86,116.64,87815
2026-01-06,116.64,117.3,115.33,117.26,109748
2026-01-07,117.29,117.44,115.48,115.76,93676
2026-01-08,115.72,116.02,114.16,115.23,72331
2026-01-09,116.22,117.21,114.94,115.5,86512
2026-01-12,115.51,118.75,115.44,117.93,129641
2026-01-13,117.93,119.12,116.28,116.64,125144
2026-01-14,115.86,118.08,114.49,115.5,136975
2026-01-15,113.74,115.8,113.65,114.0,87741
2026-01-16,114.19,114.63,112.37,112.92,90851
2026-01-19,112.71,113.24,111.94,112.23,72833
2026-01-20,112.04,115.49,111.59,114.9,150079
2026-01-21,114.25,114.62,111.75,111.82,106959
2026-01-22,111.97,112.78,110.86,110.99,82354
2026-01-23,110.99,112.22,110.55,110.68,84294
2026-01-26,110.7,111.73,108.04,111.07,160925
2026-01-27,111.24,112.11,109.0,111.0,121220
2026-01-28,110.64,113.14,110.19,111.58,138009
2026-01-29,112.22,122.87,111.74,122.87,389363
2026-01-30,123.17,124.79,120.62,120.9,315155
2026-02-02,119.18,126.36,118.96,122.0,268499
2026-02-03,120.94,124.27,120.35,122.3,142736
2026-02-04,121.52,127.37,121.0,126.3,224800
2026-02-05,125.4,127.91,125.05,125.46,158711
2026-02-06,125.49,126.78,122.41,122.83,122515
2026-02-09,122.88,123.42,120.21,121.29,146983
2026-02-10,121.0,121.0,117.6,118.19,128662
2026-02-11,118.18,118.74,117.0,117.94,85729
2026-02-12,117.55,117.94,115.57,115.62,93322
2026-02-13,116.01,117.52,115.11,116.25,92801
2026-02-24,116.85,117.52,112.48,112.5,126073
2026-02-25,112.78,113.77,112.6,112.92,87643
2026-02-26,112.55,112.92,110.44,111.0,104401
2026-02-27,111.04,111.49,110.35,110.5,64813
2026-03-02,108.98,110.18,107.6,108.17,108174
2026-03-03,107.89,110.4,106.81,107.5,124317
2026-03-04,106.81,106.81,103.0,103.64,156044
2026-03-05,104.3,104.89,103.43,103.93,62853
2026-03-06,103.44,106.2,103.21,105.98,80452
2026-03-09,104.4,105.81,104.03,105.01,66228
2026-03-10,105.52,105.95,104.85,105.07,60337
2026-03-11,105.08,105.18,104.06,104.8,71113
2026-03-12,104.75,105.76,103.89,105.18,74227
2026-03-13,104.7,108.79,104.62,107.86,131095
2026-03-16,107.5,110.33,107.2,108.62,116963
2026-03-17,108.08,110.18,107.7,108.13,82062
2026-03-18,108.0,108.41,106.16,106.85,56977
2026-03-19,106.0,106.8,105.13,105.4,49175
2026-03-20,105.55,106.78,104.85,105.2,51040
2026-03-23,104.0,104.15,102.04,102.44,86415
2026-03-24,103.64,103.8,101.88,103.39,54013
2026-03-25,103.65,103.88,103.0,103.84,50712
2026-03-26,103.5,104.38,101.78,101.9,73552
2026-03-27,101.4,104.44,101.2,103.78,76476
2026-03-30,103.0,106.23,102.56,105.3,80620
2026-03-31,107.35,108.5,104.6,104.68,89966
2026-04-01,105.81,107.3,104.0,106.26,66594
2026-04-02,105.49,106.89,105.22,105.96,44836
2026-04-03,105.9,106.5,104.1,104.27,43464
2026-04-07,104.27,104.9,102.78,103.49,44727
2026-04-08,104.58,105.03,104.01,105.03,56642
2026-04-09,104.3,104.78,102.56,102.8,70591
2026-04-10,103.49,103.49,102.2,102.51,85408
2026-04-13,102.0,102.54,101.38,102.43,55965
2026-04-14,102.47,103.31,101.6,103.21,76058
2026-04-15,103.21,103.81,102.2,103.09,73031
2026-04-16,102.77,103.56,102.45,103.05,59509
2026-04-17,101.0,101.5,100.56,101.2,92560
2026-04-20,101.0,101.33,100.2,100.65,77214
2026-04-21,100.5,101.12,100.4,100.61,44558
2026-04-22,100.63,100.63,99.72,100.24,81209
2026-04-23,100.5,103.16,100.48,101.85,115478
2026-04-24,100.9,103.55,100.25,102.63,108512
2026-04-27,101.5,101.87,100.2,100.35,73794
